file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,127,css,c6478c7f,Ishaan Kor,2025-01-17,13:10:33,-08:00,2025-01-17T13:10:33-08:00,0,44
style.css,128,css,c6478c7f,Ishaan Kor,2025-01-17,13:10:33,-08:00,2025-01-17T13:10:33-08:00,0,21
style.css,129,css,c6478c7f,Ishaan Kor,2025-01-17,13:10:33,-08:00,2025-01-17T13:10:33-08:00,0,0
style.css,130,css,c6478c7f,Ishaan Kor,2025-01-17,13:10:33,-08:00,2025-01-17T13:10:33-08:00,0,0
style.css,131,css,c6478c7f,Ishaan Kor,2025-01-17,13:10:33,-08:00,2025-01-17T13:10:33-08:00,0,5
style.css,132,css,c6478c7f,Ishaan Kor,2025-01-17,13:10:33,-08:00,2025-01-17T13:10:33-08:00,0,13
style.css,133,css,c6478c7f,Ishaan Kor,2025-01-17,13:10:33,-08:00,2025-01-17T13:10:33-08:00,0,13
style.css,134,css,c6478c7f,Ishaan Kor,2025-01-17,13:10:33,-08:00,2025-01-17T13:10:33-08:00,0,31
style.css,135,css,c6478c7f,Ishaan Kor,2025-01-17,13:10:33,-08:00,2025-01-17T13:10:33-08:00,0,8
style.css,136,css,c6478c7f,Ishaan Kor,2025-01-17,13:10:33,-08:00,2025-01-17T13:10:33-08:00,0,0
style.css,137,css,c6478c7f,Ishaan Kor,2025-01-17,13:10:33,-08:00,2025-01-17T13:10:33-08:00,0,0
style.css,138,css,c6478c7f,Ishaan Kor,2025-01-17,13:10:33,-08:00,2025-01-17T13:10:33-08:00,0,6
style.css,139,css,c6478c7f,Ishaan Kor,2025-01-17,13:10:33,-08:00,2025-01-17T13:10:33-08:00,0,13
style.css,140,css,c6478c7f,Ishaan Kor,2025-01-17,13:10:33,-08:00,2025-01-17T13:10:33-08:00,0,30
style.css,141,css,c6478c7f,Ishaan Kor,2025-01-17,13:10:33,-08:00,2025-01-17T13:10:33-08:00,0,19
style.css,142,css,c6478c7f,Ishaan Kor,2025-01-17,13:10:33,-08:00,2025-01-17T13:10:33-08:00,0,0
style.css,143,css,c6478c7f,Ishaan Kor,2025-01-17,13:10:33,-08:00,2025-01-17T13:10:33-08:00,0,0
style.css,144,css,c6478c7f,Ishaan Kor,2025-01-17,13:10:33,-08:00,2025-01-17T13:10:33-08:00,0,6
style.css,145,css,c6478c7f,Ishaan Kor,2025-01-17,13:10:33,-08:00,2025-01-17T13:10:33-08:00,0,14
style.css,146,css,c6478c7f,Ishaan Kor,2025-01-17,13:10:33,-08:00,2025-01-17T13:10:33-08:00,0,11
